DATE,DTWEXBGS
2019-01-07,114.5621
2019-01-08,114.7272
2019-01-09,114.1394
2019-01-10,114.048
2019-01-11,114.0383
2019-01-14,.
2019-01-15,114.3374
2019-01-16,114.1341
2019-01-17,114.4087
2019-01-18,114.5555
2019-01-21,.
2019-01-22,114.7515
2019-01-23,114.5732
2019-01-24,114.614
2019-01-25,114.0168
2019-01-28,114.0493
2019-01-29,114.0227
2019-01-30,114.0705
2019-01-31,113.5476
2019-02-01,113.7524
2019-02-04,113.8738
2019-02-05,114.0404
2019-02-06,114.2275
2019-02-07,114.4308
2019-02-08,114.4975
2019-02-11,115.0288
2019-02-12,114.7278
2019-02-13,114.9388
2019-02-14,115.0984
2019-02-15,114.9899
2019-02-18,.
2019-02-19,114.5676
2019-02-20,.
2019-02-21,114.507
2019-02-22,114.2692
2019-02-25,114.1432
2019-02-26,114.0662
2019-02-27,114.0337
2019-02-28,114.1971
2019-03-01,114.535
2019-03-04,114.6903
2019-03-05,114.8019
2019-03-06,114.9697
2019-03-07,115.4905
2019-03-08,115.3585
2019-03-11,115.2953
2019-03-12,114.9376
2019-03-13,114.7361
2019-03-14,114.7891
2019-03-15,114.5808
2019-03-18,114.4368
2019-03-19,114.2313
2019-03-20,114.1497
2019-03-21,114.1672
2019-03-22,114.6845
2019-03-25,114.4158
2019-03-26,114.6404
2019-03-27,115.1236
2019-03-28,115.2575
2019-03-29,115.1364
2019-04-01,114.935
2019-04-02,115.1164
2019-04-03,114.7204
2019-04-04,114.9687
2019-04-05,114.9714
2019-04-08,114.6879
2019-04-09,114.5307
2019-04-10,114.4255
2019-04-11,114.629
2019-04-12,114.3517
2019-04-15,114.4936
2019-04-16,114.6745
2019-04-17,114.5128
2019-04-18,114.7057
2019-04-19,114.6961
2019-04-22,114.7679
2019-04-23,115.1563
2019-04-24,115.4172
2019-04-25,115.7692
2019-04-26,115.4749
2019-04-29,115.5213
2019-04-30,115.3268
2019-05-01,115.0008
2019-05-02,115.5607
2019-05-03,115.2635
2019-05-06,115.38
2019-05-07,115.6104
2019-05-08,115.5161
2019-05-09,115.8414
2019-05-10,115.5327
2019-05-13,115.9142
2019-05-14,115.942
2019-05-15,115.8561
2019-05-16,116.0343
2019-05-17,116.4481
2019-05-20,116.3126
2019-05-21,116.2847
2019-05-22,116.2414
2019-05-23,116.2369
2019-05-24,116.0809
2019-05-27,.
2019-05-28,116.3178
2019-05-29,116.5533
2019-05-30,116.3986
2019-05-31,116.7279
2019-06-03,116.4777
2019-06-04,116.0919
2019-06-05,116.0309
2019-06-06,115.9788
2019-06-07,115.7386
2019-06-10,115.5012
2019-06-11,115.3803
2019-06-12,115.4388
2019-06-13,115.6281
2019-06-14,115.9059
2019-06-17,115.9687
2019-06-18,115.8798
2019-06-19,115.7891
2019-06-20,114.8046
2019-06-21,114.8378
2019-06-24,114.6568
2019-06-25,114.6373
2019-06-26,114.5619
2019-06-27,114.6663
2019-06-28,114.5834
2019-07-01,114.7247
2019-07-02,114.8268
2019-07-03,114.8145
2019-07-04,.
2019-07-05,115.1143
2019-07-08,115.0263
2019-07-09,115.1026
2019-07-10,115.0897
2019-07-11,114.8375
2019-07-12,114.7696
2019-07-15,114.6831
2019-07-16,115.0124
