DATE,EFFRVOL
2018-10-04,73.0
2018-10-05,64.0
2018-10-08,.
2018-10-09,57.0
2018-10-10,64.0
2018-10-11,66.0
2018-10-12,69.0
2018-10-15,58.0
2018-10-16,59.0
2018-10-17,54.0
2018-10-18,54.0
2018-10-19,58.0
2018-10-22,54.0
2018-10-23,58.0
2018-10-24,60.0
2018-10-25,67.0
2018-10-26,64.0
2018-10-29,59.0
2018-10-30,60.0
2018-10-31,58.0
2018-11-01,68.0
2018-11-02,74.0
2018-11-05,70.0
2018-11-06,71.0
2018-11-07,67.0
2018-11-08,64.0
2018-11-09,66.0
2018-11-12,.
2018-11-13,60.0
2018-11-14,62.0
2018-11-15,60.0
2018-11-16,69.0
2018-11-19,67.0
2018-11-20,61.0
2018-11-21,59.0
2018-11-22,.
2018-11-23,65.0
2018-11-26,62.0
2018-11-27,57.0
2018-11-28,65.0
2018-11-29,69.0
2018-11-30,75.0
2018-12-03,83.0
2018-12-04,78.0
2018-12-05,66.0
2018-12-06,71.0
2018-12-07,73.0
2018-12-10,70.0
2018-12-11,72.0
2018-12-12,74.0
2018-12-13,70.0
2018-12-14,64.0
2018-12-17,66.0
2018-12-18,61.0
2018-12-19,72.0
2018-12-20,50.0
2018-12-21,69.0
2018-12-24,69.0
2018-12-25,.
2018-12-26,67.0
2018-12-27,71.0
2018-12-28,67.0
2018-12-31,55.0
2019-01-01,.
2019-01-02,56.0
2019-01-03,62.0
2019-01-04,68.0
2019-01-07,68.0
2019-01-08,70.0
2019-01-09,64.0
2019-01-10,65.0
2019-01-11,63.0
2019-01-14,59.0
2019-01-15,58.0
2019-01-16,63.0
2019-01-17,63.0
2019-01-18,58.0
2019-01-21,.
2019-01-22,48.0
2019-01-23,55.0
2019-01-24,64.0
2019-01-25,69.0
2019-01-28,68.0
2019-01-29,60.0
2019-01-30,63.0
2019-01-31,66.0
2019-02-01,76.0
2019-02-04,82.0
2019-02-05,83.0
2019-02-06,83.0
2019-02-07,78.0
2019-02-08,77.0
2019-02-11,65.0
2019-02-12,65.0
2019-02-13,65.0
2019-02-14,68.0
2019-02-15,56.0
2019-02-18,.
2019-02-19,61.0
2019-02-20,62.0
2019-02-21,74.0
2019-02-22,77.0
2019-02-25,72.0
2019-02-26,71.0
2019-02-27,80.0
2019-02-28,75.0
2019-03-01,93.0
2019-03-04,87.0
2019-03-05,88.0
2019-03-06,83.0
2019-03-07,79.0
2019-03-08,81.0
2019-03-11,79.0
2019-03-12,75.0
2019-03-13,74.0
2019-03-14,78.0
2019-03-15,69.0
2019-03-18,63.0
2019-03-19,61.0
2019-03-20,73.0
2019-03-21,69.0
2019-03-22,70.0
2019-03-25,78.0
2019-03-26,76.0
2019-03-27,72.0
2019-03-28,74.0
2019-03-29,71.0
2019-04-01,66.0
2019-04-02,78.0
2019-04-03,79.0
2019-04-04,79.0
2019-04-05,73.0
2019-04-08,72.0
2019-04-09,72.0
2019-04-10,72.0
2019-04-11,73.0
2019-04-12,67.0
2019-04-15,57.0
2019-04-16,55.0
2019-04-17,55.0
2019-04-18,58.0
2019-04-19,59.0
2019-04-22,54.0
2019-04-23,53.0
2019-04-24,59.0
2019-04-25,65.0
2019-04-26,73.0
2019-04-29,60.0
2019-04-30,68.0
2019-05-01,77.0
2019-05-02,69.0
2019-05-03,74.0
2019-05-06,69.0
2019-05-07,64.0
2019-05-08,70.0
2019-05-09,73.0
2019-05-10,71.0
2019-05-13,67.0
2019-05-14,64.0
2019-05-15,62.0
2019-05-16,61.0
2019-05-17,67.0
2019-05-20,56.0
2019-05-21,64.0
2019-05-22,67.0
2019-05-23,71.0
2019-05-24,66.0
2019-05-27,.
2019-05-28,64.0
2019-05-29,58.0
2019-05-30,60.0
2019-05-31,65.0
2019-06-03,76.0
2019-06-04,71.0
2019-06-05,66.0
2019-06-06,71.0
2019-06-07,68.0
2019-06-10,62.0
2019-06-11,66.0
2019-06-12,69.0
2019-06-13,64.0
2019-06-14,63.0
2019-06-17,55.0
2019-06-18,59.0
2019-06-19,60.0
2019-06-20,61.0
2019-06-21,65.0
2019-06-24,63.0
2019-06-25,70.0
2019-06-26,70.0
2019-06-27,76.0
2019-06-28,73.0
2019-07-01,73.0
2019-07-02,71.0
2019-07-03,75.0
2019-07-04,.
2019-07-05,72.0
2019-07-08,76.0
2019-07-09,75.0
2019-07-10,78.0
2019-07-11,77.0
2019-07-12,69.0
2019-07-15,63.0
2019-07-16,64.0
2019-07-17,62.0
2019-07-18,55.0
2019-07-19,58.0
2019-07-22,60.0
2019-07-23,60.0
2019-07-24,65.0
2019-07-25,69.0
2019-07-26,78.0
2019-07-29,77.0
2019-07-30,72.0
2019-07-31,70.0
2019-08-01,81.0
2019-08-02,74.0
2019-08-05,68.0
2019-08-06,65.0
2019-08-07,66.0
2019-08-08,62.0
2019-08-09,69.0
2019-08-12,68.0
2019-08-13,66.0
2019-08-14,60.0
2019-08-15,61.0
2019-08-16,62.0
2019-08-19,56.0
2019-08-20,55.0
2019-08-21,65.0
2019-08-22,65.0
2019-08-23,68.0
2019-08-26,64.0
2019-08-27,62.0
2019-08-28,62.0
2019-08-29,62.0
2019-08-30,66.0
2019-09-02,.
2019-09-03,71.0
2019-09-04,72.0
2019-09-05,65.0
2019-09-06,69.0
2019-09-09,64.0
2019-09-10,63.0
2019-09-11,61.0
2019-09-12,60.0
2019-09-13,53.0
2019-09-16,46.0
2019-09-17,61.0
2019-09-18,58.0
2019-09-19,59.0
2019-09-20,65.0
2019-09-23,74.0
2019-09-24,71.0
2019-09-25,77.0
2019-09-26,89.0
2019-09-27,85.0
2019-09-30,59.0
2019-10-01,75.0
2019-10-02,76.0
2019-10-03,80.0
2019-10-04,80.0
2019-10-07,76.0
2019-10-08,69.0
2019-10-09,66.0
2019-10-10,61.0
2019-10-11,60.0
2019-10-14,.
2019-10-15,69.0
2019-10-16,76.0
2019-10-17,66.0
2019-10-18,61.0
2019-10-21,60.0
2019-10-22,67.0
2019-10-23,65.0
2019-10-24,65.0
2019-10-25,73.0
2019-10-28,72.0
2019-10-29,72.0
2019-10-30,69.0
2019-10-31,71.0
2019-11-01,83.0
2019-11-04,83.0
2019-11-05,81.0
2019-11-06,80.0
2019-11-07,76.0
2019-11-08,71.0
2019-11-11,.
2019-11-12,71.0
2019-11-13,71.0
2019-11-14,68.0
2019-11-15,73.0
2019-11-18,62.0
2019-11-19,64.0
2019-11-20,70.0
2019-11-21,67.0
2019-11-22,65.0
2019-11-25,69.0
2019-11-26,71.0
2019-11-27,68.0
2019-11-28,.
2019-11-29,70.0
2019-12-02,72.0
2019-12-03,76.0
2019-12-04,75.0
2019-12-05,70.0
2019-12-06,82.0
2019-12-09,73.0
2019-12-10,75.0
2019-12-11,73.0
2019-12-12,75.0
2019-12-13,70.0
2019-12-16,69.0
2019-12-17,68.0
2019-12-18,74.0
2019-12-19,73.0
2019-12-20,69.0
2019-12-23,69.0
2019-12-24,71.0
2019-12-25,.
2019-12-26,75.0
2019-12-27,73.0
2019-12-30,72.0
2019-12-31,51.0
2020-01-01,.
2020-01-02,74.0
2020-01-03,79.0
2020-01-06,77.0
2020-01-07,80.0
2020-01-08,83.0
2020-01-09,81.0
2020-01-10,83.0
2020-01-13,85.0
2020-01-14,76.0
2020-01-15,76.0
2020-01-16,78.0
2020-01-17,67.0
2020-01-20,.
2020-01-21,64.0
2020-01-22,69.0
2020-01-23,67.0
2020-01-24,70.0
2020-01-27,71.0
2020-01-28,69.0
2020-01-29,71.0
2020-01-30,64.0
2020-01-31,78.0
2020-02-03,79.0
2020-02-04,80.0
2020-02-05,83.0
2020-02-06,79.0
2020-02-07,77.0
2020-02-10,69.0
2020-02-11,66.0
2020-02-12,74.0
2020-02-13,69.0
2020-02-14,61.0
2020-02-17,.
2020-02-18,61.0
2020-02-19,64.0
2020-02-20,60.0
2020-02-21,65.0
2020-02-24,63.0
2020-02-25,64.0
2020-02-26,62.0
2020-02-27,65.0
2020-02-28,61.0
2020-03-02,58.0
2020-03-03,58.0
2020-03-04,80.0
2020-03-05,78.0
2020-03-06,79.0
2020-03-09,77.0
2020-03-10,77.0
2020-03-11,80.0
2020-03-12,61.0
2020-03-13,65.0
2020-03-16,80.0
2020-03-17,85.0
2020-03-18,82.0
2020-03-19,103.0
2020-03-20,87.0
2020-03-23,82.0
2020-03-24,95.0
2020-03-25,102.0
2020-03-26,101.0
2020-03-27,94.0
2020-03-30,84.0
2020-03-31,78.0
2020-04-01,92.0
2020-04-02,90.0
2020-04-03,87.0
2020-04-06,84.0
2020-04-07,85.0
2020-04-08,85.0
2020-04-09,83.0
2020-04-10,88.0
2020-04-13,95.0
2020-04-14,92.0
2020-04-15,101.0
2020-04-16,99.0
2020-04-17,101.0
2020-04-20,106.0
2020-04-21,104.0
2020-04-22,107.0
2020-04-23,107.0
2020-04-24,99.0
2020-04-27,100.0
2020-04-28,97.0
2020-04-29,99.0
2020-04-30,92.0
2020-05-01,92.0
2020-05-04,90.0
2020-05-05,92.0
2020-05-06,90.0
2020-05-07,92.0
2020-05-08,85.0
2020-05-11,84.0
2020-05-12,88.0
2020-05-13,90.0
2020-05-14,92.0
2020-05-15,93.0
2020-05-18,87.0
2020-05-19,86.0
2020-05-20,86.0
2020-05-21,85.0
2020-05-22,78.0
2020-05-25,.
2020-05-26,76.0
2020-05-27,79.0
2020-05-28,70.0
2020-05-29,65.0
2020-06-01,66.0
2020-06-02,68.0
2020-06-03,62.0
2020-06-04,61.0
2020-06-05,57.0
2020-06-08,60.0
2020-06-09,59.0
2020-06-10,53.0
2020-06-11,55.0
2020-06-12,52.0
2020-06-15,55.0
2020-06-16,57.0
2020-06-17,59.0
2020-06-18,65.0
2020-06-19,73.0
2020-06-22,76.0
2020-06-23,71.0
